setting,d,gamma_times_d,value_function,n_background,instance,eps,lambda_max,A_max,eta,m_certified,m_empirical,exact_threshold,certified_bound,observed_err,bound_holds,eps_holds,tightness,efficiency_residual,t_budget_s,t_quad_s,t_exact_s
"d=100, wide",100,1.0,neutral,0,0,0.1,2.7459591281032822,15.108396573740535,0.0066188360566207995,3,2,50,0.008092989570239618,3.3876430107993016e-05,True,True,238.89735560802515,,0.0029192080000939313,0.08895850000044447,0.26896162499906495
"d=100, wide",100,1.0,neutral,0,0,0.01,2.7459591281032822,15.108396573740535,0.00066188360566208,3,2,50,0.008092989570239618,3.3876430107993016e-05,True,True,238.89735560802515,,0.002541500001825625,0.005112208000355167,0.26896162499906495
"d=100, wide",100,1.0,neutral,0,0,0.001,2.7459591281032822,15.108396573740535,6.618836056620799e-05,4,3,50,7.644623459923848e-05,1.7654112503817654e-07,True,True,433.0222467014821,,0.001126166000176454,0.06332420900071156,0.26896162499906495
"d=100, wide",100,1.0,neutral,0,0,0.0001,2.7459591281032822,15.108396573740535,6.6188360566208e-06,4,3,50,7.644623459923848e-05,1.7654112503817654e-07,True,True,433.0222467014821,,0.0004918339982395992,0.0009456250008952338,0.26896162499906495
"d=100, wide",100,1.0,neutral,0,0,1e-06,2.7459591281032822,15.108396573740535,6.6188360566208e-08,5,4,50,4.402858378643166e-07,7.039003457887105e-08,True,True,6.254945611242491,,0.000516125001013279,0.05062058300245553,0.26896162499906495
"d=100, wide",100,1.0,neutral,0,0,1e-08,2.7459591281032822,15.108396573740535,6.618836056620799e-10,6,6,50,1.7037623075989872e-09,1.2668971746676583e-07,False,False,0.013448307736939507,,0.0005190830015635584,0.05440600000292761,0.26896162499906495
"d=100, wide",100,1.0,neutral,0,1,0.1,2.358626481382646,12.295975998659749,0.008132741964598818,3,2,50,0.0031352780107115528,9.970457494068441e-06,True,True,314.45678521539975,,0.00046029100121813826,0.001012999997328734,0.0069627910015697125
"d=100, wide",100,1.0,neutral,0,1,0.01,2.358626481382646,12.295975998659749,0.0008132741964598818,3,2,50,0.0031352780107115528,9.970457494068441e-06,True,True,314.45678521539975,,0.0005270830006338656,0.0010410830000182614,0.0069627910015697125
"d=100, wide",100,1.0,neutral,0,1,0.001,2.358626481382646,12.295975998659749,8.132741964598818e-05,4,3,50,2.1990925614794495e-05,7.455828794633579e-08,True,True,294.94944452885943,,0.0004892500001005828,0.0010697079997044057,0.0069627910015697125
"d=100, wide",100,1.0,neutral,0,1,0.0001,2.358626481382646,12.295975998659749,8.132741964598818e-06,4,3,50,2.1990925614794495e-05,7.455828794633579e-08,True,True,294.94944452885943,,0.0006349159993987996,0.0011327499996696133,0.0069627910015697125
"d=100, wide",100,1.0,neutral,0,1,1e-06,2.358626481382646,12.295975998659749,8.132741964598818e-08,5,4,50,9.379168557247743e-08,6.862097076676399e-08,True,True,1.366807909075875,,0.0005393749997892883,0.0011394579996704124,0.0069627910015697125
"d=100, wide",100,1.0,neutral,0,1,1e-08,2.358626481382646,12.295975998659749,8.132741964598819e-10,6,6,50,2.6841961944805247e-10,5.784340922909692e-08,False,False,0.004640452957828591,,0.0005310419983288739,0.0012553329979709815,0.0069627910015697125
"d=100, wide",100,1.0,neutral,0,2,0.1,2.8997678794957324,16.36266075503437,0.006111475480491923,3,2,50,0.011372582200125268,4.886736768838773e-05,True,True,232.72344589225165,,0.000460375002148794,0.0010550830011197831,0.006499874998553423
"d=100, wide",100,1.0,neutral,0,2,0.01,2.8997678794957324,16.36266075503437,0.0006111475480491923,4,2,50,0.00011946152832154211,2.0382369875227013e-07,True,True,586.1022494088734,,0.0004893750010523945,0.0010945419999188744,0.006499874998553423
"d=100, wide",100,1.0,neutral,0,2,0.001,2.8997678794957324,16.36266075503437,6.111475480491924e-05,4,3,50,0.00011946152832154211,2.0382369875227013e-07,True,True,586.1022494088734,,0.00046312500126077794,0.0009391249986947514,0.006499874998553423
"d=100, wide",100,1.0,neutral,0,2,0.0001,2.8997678794957324,16.36266075503437,6.111475480491923e-06,5,3,50,7.66019742931187e-07,9.393648223166018e-08,True,True,8.154656473531528,,0.0005204579974815715,0.001237166998180328,0.006499874998553423
"d=100, wide",100,1.0,neutral,0,2,1e-06,2.8997678794957324,16.36266075503437,6.111475480491922e-08,5,4,50,7.66019742931187e-07,9.393648223166018e-08,True,True,8.154656473531528,,0.00046875000043655746,0.0014156670004012994,0.006499874998553423
"d=100, wide",100,1.0,neutral,0,2,1e-08,2.8997678794957324,16.36266075503437,6.111475480491923e-10,6,6,50,3.3021337722426e-09,1.6327401883287074e-07,False,False,0.020224490067967914,,0.0005256660006125458,0.0013020419974054676,0.006499874998553423
"d=100, wide",100,1.0,neutral,0,3,0.1,2.99655493695234,15.188980514524392,0.006583720342808753,3,2,50,0.0123316881784298,5.484789538079404e-05,True,True,224.83430025553832,,0.00048791700100991875,0.0009749999990162905,0.0068815829981758725
"d=100, wide",100,1.0,neutral,0,3,0.01,2.99655493695234,15.188980514524392,0.0006583720342808753,4,2,50,0.00013807434888845135,3.0040297271938243e-07,True,True,459.6304345411113,,0.0005264169994916301,0.001106416999391513,0.0068815829981758725
"d=100, wide",100,1.0,neutral,0,3,0.001,2.99655493695234,15.188980514524392,6.583720342808753e-05,4,3,50,0.00013807434888845135,3.0040297271938243e-07,True,True,459.6304345411113,,0.0005277499985822942,0.0009887910018733237,0.0068815829981758725
