d,target_lambda,gamma_times_d,instance,m_q,m_budget_eps,lambda_max,A_max,max_abs_phi,certified,observed,floor,rounding_noise,above_floor,informative,holds,holds_strict,ratio,m_over_lambda
100,40.0,29.145733740690048,0,2,13,40.83277746207027,172.14430848961942,1.053402834163789,618.1996888805432,1.0383311674843458,1.7186252421197423e-13,8.593126210598712e-14,True,True,True,True,595.3781493223485,0.048980258613507445
100,40.0,29.145733740690048,0,3,13,40.83277746207027,172.14430848961942,1.053402834163789,313.48885714212895,0.8132659827344089,1.7186252421197423e-13,8.593126210598712e-14,True,True,True,True,385.4690394009829,0.07347038792026117
100,40.0,29.145733740690048,0,4,13,40.83277746207027,172.14430848961942,1.053402834163789,138.35465354871704,0.42593881953073354,1.7186252421197423e-13,8.593126210598712e-14,True,True,True,True,324.8228318356742,0.09796051722701489
100,40.0,29.145733740690048,0,7,13,40.83277746207027,172.14430848961942,1.053402834163789,4.884576873510217,0.009970447705612395,1.7186252421197423e-13,8.593126210598712e-14,True,True,True,True,489.90547041941494,0.17143090514727607
100,40.0,29.145733740690048,0,10,13,40.83277746207027,172.14430848961942,1.053402834163789,0.04612125019756988,2.7624592360719902e-05,1.7186252421197423e-13,8.593126210598712e-14,True,True,True,True,1669.5721549596815,0.24490129306753725
100,40.0,29.145733740690048,0,15,13,40.83277746207027,172.14430848961942,1.053402834163789,1.436425022432368e-06,4.108441364891746e-11,1.7186252421197423e-13,8.593126210598712e-14,True,True,True,True,34962.772858514836,0.36735193960130585
100,40.0,29.145733740690048,0,22,13,40.83277746207027,172.14430848961942,1.053402834163789,8.191146328069384e-15,3.5083047578154947e-14,1.7186252421197423e-13,8.593126210598712e-14,False,False,True,False,0.23347875665082585,0.538782844748582
100,40.0,29.145733740690048,0,33,13,40.83277746207027,172.14430848961942,1.053402834163789,3.549566543540822e-31,2.2648549702353193e-14,1.7186252421197423e-13,8.593126210598712e-14,False,False,True,False,1.5672378983154143e-17,0.8081742671228729
100,40.0,29.145733740690048,0,49,13,40.83277746207027,172.14430848961942,1.053402834163789,2.88332934046456e-60,9.08162434143378e-14,1.7186252421197423e-13,8.593126210598712e-14,False,False,True,False,3.1749048761131076e-47,1.2000163360309324
100,40.0,29.145733740690048,1,2,12,37.17731908642496,152.77592857008193,1.4444732108737814,500.3263650536128,1.403175671394942,2.1005419625907962e-13,1.0502709812953981e-13,True,True,True,True,356.56716065795405,0.053796240534468395
