d,n_informative,informative_fraction,instance,n_train,gamma,alpha,epsilon,m_certified,m_observed,exact_threshold,certified_bound,observed_at_certified,bound_holds,tolerance_holds
50,15,0.3,0,300,0.005,0.1,1e-06,4,3,25,1.1627627990060296e-08,8.212389102091322e-13,True,True
50,15,0.3,1,300,0.005,0.1,1e-06,4,3,25,2.506922203881165e-09,4.340972026284362e-13,True,True
50,15,0.3,2,300,0.005,0.1,1e-06,4,3,25,1.4592728827751606e-09,1.4810375148499588e-13,True,True
50,15,0.3,3,300,0.005,0.1,1e-06,4,3,25,3.4929090493083548e-09,9.037215420448774e-13,True,True
50,15,0.3,4,300,0.005,0.1,1e-06,4,3,25,4.610357332322189e-09,6.674660824046441e-13,True,True
50,15,0.3,5,300,0.005,0.1,1e-06,4,3,25,1.433824397802431e-09,5.195843755245733e-13,True,True
50,15,0.3,6,300,0.005,0.1,1e-06,4,3,25,1.994702867349715e-09,3.714806240395774e-13,True,True
50,15,0.3,7,300,0.005,0.1,1e-06,4,3,25,2.689193238186046e-09,4.1911960013685245e-13,True,True
50,15,0.3,8,300,0.005,0.1,1e-06,4,3,25,2.37807726267003e-09,4.318767565791859e-13,True,True
50,15,0.3,9,300,0.005,0.1,1e-06,4,3,25,2.910463160022107e-09,3.7903014060702844e-13,True,True
50,15,0.3,10,300,0.005,0.1,1e-06,4,3,25,1.6777330151600324e-08,1.1790568521519162e-12,True,True
50,15,0.3,11,300,0.005,0.1,1e-06,4,3,25,1.2517818863874318e-08,1.8627321907160876e-12,True,True
50,15,0.3,12,300,0.005,0.1,1e-06,4,3,25,5.166084678296271e-10,1.6564527527407336e-13,True,True
50,15,0.3,13,300,0.005,0.1,1e-06,4,3,25,3.080358497260186e-09,3.6559644200906405e-13,True,True
50,15,0.3,14,300,0.005,0.1,1e-06,4,3,25,1.2653945963260272e-09,1.0018652574217413e-12,True,True
50,15,0.3,15,300,0.005,0.1,1e-06,4,3,25,4.285539330948337e-09,5.348985143704965e-13,True,True
50,15,0.3,16,300,0.005,0.1,1e-06,4,3,25,3.1155810532304195e-09,8.522071937022702e-13,True,True
