d,m_q,n_games,backend,blocking,block_size,node_block,peak_mb,seconds
200,4,300,logspace_numpy,auto,300,4,2.7740478515625,0.0038167089987837244
200,4,300,prefix_scan_numpy,auto,300,4,10.0982666015625,0.0023400840000249445
200,4,300,prefix_scan_numpy,off,300,4,10.0982666015625,0.002200707996962592
200,16,300,logspace_numpy,auto,300,16,2.8564453125,0.010328959000617033
200,16,300,prefix_scan_numpy,auto,300,16,32.1533203125,0.006399624999176012
200,16,300,prefix_scan_numpy,off,300,16,32.1533203125,0.006238500001927605
200,64,300,logspace_numpy,auto,300,64,3.18603515625,0.03641812500063679
200,64,300,prefix_scan_numpy,auto,300,64,120.37353515625,0.022758707997127203
200,64,300,prefix_scan_numpy,off,300,64,120.37353515625,0.022965624997596024
200,100,300,logspace_numpy,auto,300,100,3.4332275390625,0.05605875000037486
200,100,300,prefix_scan_numpy,auto,51,100,31.711578369140625,0.03561199999967357
200,100,300,prefix_scan_numpy,off,300,100,186.5386962890625,0.037383291997684864
1000,4,300,logspace_numpy,auto,300,4,13.7603759765625,0.01899904099991545
1000,4,300,prefix_scan_numpy,auto,300,4,50.3814697265625,0.006620790998567827
1000,4,300,prefix_scan_numpy,off,300,4,50.3814697265625,0.006523583000671351
1000,16,300,logspace_numpy,auto,300,16,13.8427734375,0.05026129199904972
1000,16,300,prefix_scan_numpy,auto,59,16,31.531005859375,0.028779959000530653
1000,16,300,prefix_scan_numpy,off,300,16,160.3271484375,0.028411915998731274
1000,64,300,logspace_numpy,auto,300,64,14.17236328125,0.17757820900078514
1000,64,300,prefix_scan_numpy,auto,15,64,30.0054931640625,0.12177779199919314
1000,64,300,prefix_scan_numpy,off,300,64,600.10986328125,0.12400691699804156
1000,500,300,logspace_numpy,auto,300,500,17.1661376953125,1.3813967499991122
1000,500,300,prefix_scan_numpy,auto,32,31,31.760986328125,0.960600082999008
1000,500,300,prefix_scan_numpy,off,300,500,4594.8028564453125,
5000,4,300,logspace_numpy,auto,300,4,68.6920166015625,0.09427724999841303
5000,4,300,prefix_scan_numpy,auto,38,4,31.89434814453125,0.03580941600012011
5000,4,300,prefix_scan_numpy,off,300,4,251.7974853515625,0.03790650000155438
5000,16,300,logspace_numpy,auto,300,16,68.7744140625,0.254168583000137
5000,16,300,prefix_scan_numpy,auto,11,16,29.377197265625,0.13150475000293227
5000,16,300,prefix_scan_numpy,off,300,16,801.1962890625,0.14479950000168174
5000,64,300,logspace_numpy,auto,300,64,69.10400390625,0.88669412499803
5000,64,300,prefix_scan_numpy,auto,32,5,31.741943359375,0.5406699170016509
5000,64,300,prefix_scan_numpy,off,300,64,2998.79150390625,
